Age,Year,Incidence,Sex
45,1998,0.0204,m
46,1998,0.0188,m
47,1998,0.0174,m
48,1998,0.016,m
49,1998,0.0146,m
50,1998,0.0134,m
51,1998,0.012,m
52,1998,0.011,m
53,1998,0.0098,m
54,1998,0.0086,m
55,1998,0.0076,m
56,1998,0.0066,m
57,1998,0.0058,m
58,1998,0.005,m
59,1998,0.0044,m
60,1998,0.0038,m
61,1998,0.0034,m
62,1998,0.003,m
63,1998,0.0026,m
64,1998,0.0022,m
65,1998,0.002,m
66,1998,0.0016,m
67,1998,0.0014,m
68,1998,0.0012,m
69,1998,0.0012,m
70,1998,0.001,m
71,1998,0.001,m
72,1998,0.0008,m
73,1998,0.0008,m
74,1998,0.0008,m
75,1998,0.0006,m
76,1998,0.0006,m
77,1998,0.000536,m
78,1998,0.000496,m
79,1998,0.000466,m
80,1998,0.00045,m
81,1998,0.000432,m
82,1998,0.000414,m
83,1998,0.000402,m
84,1998,0.000382,m
85,1998,0.000356,m
86,1998,0.000324,m
87,1998,0.000332,m
88,1998,0.000342,m
89,1998,0.000352,m
90,1998,0.000456,m
10,1999,0,m
11,1999,0.00000074,m
12,1999,0.00001598,m
13,1999,0.0001614,m
14,1999,0.001,m
15,1999,0.004,m
16,1999,0.0106,m
17,1999,0.0204,m
18,1999,0.0352,m
19,1999,0.0412,m
20,1999,0.0452,m
21,1999,0.0476,m
22,1999,0.049,m
23,1999,0.0496,m
24,1999,0.0496,m
25,1999,0.0494,m
26,1999,0.049,m
27,1999,0.0484,m
28,1999,0.0474,m
29,1999,0.0468,m
30,1999,0.0448,m
31,1999,0.043,m
32,1999,0.041,m
33,1999,0.039,m
